sentence,position,lemma,pos
"Even when they are re-enacting these scenes, Bri and Sheila improvise new jokes and are amused by each other's ingenuity...She still has faith Joe will improve, Joe has none...They are visited by another couple...and by Bri's mother...They think that the child should be placed in an institution but are horrified by Bri's support of euthanasia...For all the laughs, it is a hopeless situation” (Kerensky, 1977 pp 63–64).","(88, 94)",amuse,V
"Percy begs Mercy to help him restore 700 pounds he took out of the till at work, which he has used to amuse himself with the higher social classes.","(102, 107)",amuse,V
"Have we not already seen enough of the fallacy and extravagance of those idle theories which have amused us with promises of an exemption from the imperfections, weaknesses and evils incident to society in every shape?","(98, 104)",amuse,V
"To amuse himself, Enrico suggests to his friends that they reveal their darkest deeds, the winner being crowned with laurel.","(3, 8)",amuse,V
"In June 2005, Microsoft announced that MS Office 12, due in 2006, will deliver support for a new set of XML file formats called the ""Microsoft Office Open XML Formats"".","(24, 33)",announce,V
"On March 13, 2012, PayPal will announce it's re-imagined consumer experience.","(31, 39)",announce,V
"A PlayStation 5 VR headset was announced on February 23rd, 2021 with a slated 2022 release date.","(31, 40)",announce,V
"Hugo Chaves president passes away -after, Venezuela announces to mourn 7 days.","(52, 61)",announce,V
On 12 April 2019 Marcello I announced his intention to abdicate.,"(28, 37)",announce,V
It is not the case that Rhine announced his results first to the public.,"(30, 39)",announce,V
"On December 17th, 2003 the Pepper Pad Wi-Fi Suite was announced.","(54, 63)",announce,V
"In 2000 the WonderGate was announced, a device which would allow the WonderSwan to connect to NTT DoCoMo mobile phones and connect to the Internet.","(27, 36)",announce,V
"Venezuela president Hugo Chavez because of cancer passes away, dies at the age of 58 years (of age), his vice-president announces.","(120, 129)",announce,V
"She is commanded to go to the obelisk at Concorde square and hear a man speak, for from his words a son will be born, whom all of France awaits: ""Go, for your son, for your king, for your country,"" the vision announces.","(209, 218)",announce,V
It is from this that I am trying to anticipate what Wikibooks will be like in the future when non-geeks start arriving here in mass... or perhaps they are here now.,"(36, 46)",anticipate,V
Thus one of the early steps in any developmental program is an environmental scan to determine what trends await the faculty and whether developmental changes are required to assure the faculty competencies in place today will meet the anticipated needs of tomorrow.,"(236, 247)",anticipate,V
"They act within the structures (the rules and guidelines) of the bureaucracies where they work, but these can never anticipate every situation that staff face in the course of their everyday work.","(116, 126)",anticipate,V
"The directors, anticipating this state of affairs, were not slow in opening a radio department on a large scale, and this has, during the past year, been considerably augmented, and advertised by the broadcasting station, which is owned and operated by Musgroves Ltd. under the name of ""6ML.""","(15, 27)",anticipate,V
"In a strategic vision that anticipated the Awakening Councils, he also strongly favored efforts to reconcile with Iraq insurgents and thus draw them away from hardcore Saddamists, Iraqi al-Qaeda members, and foreign terrorists.","(27, 38)",anticipate,V
The world is stupid and prejudiced for not anticipating your frustration.,"(43, 55)",anticipate,V
"So rapid has progress been made with the installation of the plant for Messrs. Musgroves ""B"" class station, located at their musical warehouse, Murray-street, that it is anticipated it will be in operation earlier than originally proposed.","(170, 181)",anticipate,V
"They anticipated our use of the Internet as a source, but there was always a maximum placed on the amount that could be found from there.","(5, 16)",anticipate,V
"Toffler anticipated the break-up of the nuclear family, the genetic revolution, the ‘throw-away’ society, the resurgence of emphasis on education, and the increased importance of knowledge in society.","(8, 19)",anticipate,V
"He also now fears Harry who, by force of will, forced the interlocking magical streams backwards into Voldemort's wand, a feat Voldemort never anticipated.","(143, 154)",anticipate,V
This grandiosity derives from how children are (or should be) surrounded by praise and love with every minor achievement warmly applauded.,"(128, 137)",applaud,V
"If anyone should be considered violent it is the supporter of state and its actions yet people do not see the obvious and ""deplore the type of violence that the state deplores, and applaud the violence that the state practises.""","(181, 188)",applaud,V
The entertained audience has been applauding tirelessly ______________ over an hour now.,"(34, 44)",applaud,V
"This forethought and preplanning allows introverts the necessary time to organize and preplan their feelings and thoughts so their involvement within the group will be more substantial and appreciated by the extroverts who, by their very nature, will applaud and welcome their contributions.","(251, 258)",applaud,V
"Remember, What happens in the Boxcar, stays in the Boxcar—if you fix it up, dress it up pretty, and customize it on your system, so long as you don't upload it, veteran Trainzer's will applaud you.","(185, 192)",applaud,V
They applaud and laugh at the mimed gestures as though they were real.,"(5, 12)",applaud,V
"""If a woman achieves success, she is applauded but men who enter in traditional female arenas are often treated with suspicion.","(37, 46)",applaud,V
"While this was initially well received by many Frenchmen who applauded the ""bringing home"" of the church, the subsequent punitive measures taken against clergy who did not swear the oath (also known as the refractory clergy) would be a cause of great resentment in the Western provinces, and was one of the causes behind the Vendee rising in 1793.","(61, 70)",applaud,V
"In our class example, we could pick meeting times outside of class to get together on Tuesdays when we're all wearing pink, and we could applaud, laugh, or pat others on the back whenever they use the word ""fetch.""","(137, 144)",applaud,V
"Mr Bechervaise's remarks were supplemented by several of the senior officers, whose testimony was heartily applauded.","(107, 116)",applaud,V
"The customer expects to be contacted if anything changes, and will appreciate communicating these changes.","(67, 77)",appreciate,V
"But the role of HTML, HTTP, CSS, XPath, XML Schema, XSLT, XForms, REST, Schematron and XQuery and other standards created by the W3C really must be appreciated to understand the true scope of the standardization efforts.","(148, 159)",appreciate,V
"At the party, each child in the class could say one thing he or she will miss or one thing he or she appreciates about the child who is leaving.","(101, 112)",appreciate,V
"As your models get more complex, you will start to appreciate the ability to quickly find things here.","(51, 61)",appreciate,V
Nevertheless he thought owners of old sets would be able easily to appreciate the difference.,"(67, 77)",appreciate,V
Dreikurs felt that the paddle more than likely contributed to the disruptive situation in the classroom and appreciated the teacher's approach.,"(108, 119)",appreciate,V
It was not appreciated at the time and has scarcely been written about after.,"(11, 22)",appreciate,V
"Digital imaging programs and techniques not only create scandals within the media, but they create a new of way of seeing and appreciating our public sphere.","(126, 138)",appreciate,V
"Harry spends most of his summer vacation at The Burrow, happily staying with the family he has come to appreciate more than his own.","(103, 113)",appreciate,V
"I fail to appreciate the crack about personal bias, as I did not make any effort to disguise the fact that the opinions expressed were my own, carried my own signature at the bottom and were published for the sole purpose of letting readers know what I thought about the subject.","(10, 20)",appreciate,V
"In all the other capital cities only one Class "" A "" station was permitted, but the Regulations provided that additional relay stations for the purpose of serving distant country licensees could be arranged for by the owners of existing "" A "" Class stations.","(198, 206)",arrange,V
"Listen, at the arranged times and you will hear Sydney G.P.O.","(15, 23)",arrange,V
"""Real-time ridesharing"" is a similar concept that involves arranging one-time shared rides in short notice and maximizes car capacity by better utilizing available seats.","(59, 68)",arrange,V
The first thought in arranging the classroom is to make sure the teacher's desk is located with a bird's eye view of the classroom.,"(21, 30)",arrange,V
They can arrange the student's environment so that learning and development occur and potential is released.,"(9, 16)",arrange,V
"Viewed broadly, it may be tempting to think that classrooms are arranged in similar ways, but there are actually important alternative arrangements to consider.","(64, 72)",arrange,V
"The function, held under the auspices of the Queensland Postal Institute to assist welfare funds, was arranged by a committee with Mr. G. E. R. Dixon as chairman and Mr. F. Davison as secretary.","(102, 110)",arrange,V
"You will find out how these tissues are arranged into organs, and how the organs form systems such as the digestive system and the reproductive system.","(40, 48)",arrange,V
"Furthermore, we should expect the different sorts of sedimentary structures and fossils to be arranged within each strip as they are in nearshore sediments.","(94, 102)",arrange,V
"The secretary had everything arranged in apple pie order, and with the assistance of a band of willing and capable workers, exhibitors were afforded every opportunity of arranging their exhibits to best advantage.","(170, 179)",arrange,V
"Mrs. Piper arrived in England on November 19 in the Cunard steamer Scythia from Boston, and as Mr. Myers was called away to Edinburgh on that day, I met the steamer at his request and conveyed the lady to the hotel apartments he had taken for her.","(11, 18)",arrive,V
Flames destroyed the partitions and had broken through the roof when the first fire brigades arrived.,"(93, 100)",arrive,V
Thus a teacher who arrives in Hong Kong in August 2011 would normally receive his first tax demand in May or June 2012 and would not pay any tax until around January 2013.,"(19, 26)",arrive,V
"Joseph Dupuis, the first British consul in Kumasi, arrived on March 23, 1820.","(51, 58)",arrive,V
"Even for teachers the ability to function and arrive at deep and meaningful realizations, that may or may not result in behavioural change or increased efficiency in instruction, requires a certain degree of learner motivation, commitment to the goal of the exercise and self-discipline.","(46, 52)",arrive,V
How is it that you have only arrived here?,"(29, 36)",arrive,V
"Part 3 Descend down the stairs through the second underground passage, and arrive towards the bottom of the dungeon.","(75, 81)",arrive,V
Von Karma will arrive and will say she will help you on her investigation after whipping Gumshoe until he drops.,"(15, 21)",arrive,V
Dad _________________________________ (leave) by the time I arrived.,"(60, 67)",arrive,V
"Bertram arrives at the King's court, where the cautious monarch has recently decided to stay out of a war involving Austria and the Duke of Florence--with the caveat that any French noblemen who wish to involve themselves in the conflict are free to go.","(8, 15)",arrive,V
The way this concept is expressed in C++ is to have the member function declaration assigned to zero.,"(84, 92)",assign,V
"As a result, three-base codons were assigned to amino acids[[|]], and as a result, 50 codons were identified.","(36, 44)",assign,V
and some allow assigning priorities to different interrupts.,"(15, 24)",assign,V
"Default values DD.MM.YY and HH:MM:SS respectively, are assigned to these fields in the registry of a newly delivered system.","(55, 63)",assign,V
"But in such cases people often have two additional requirements: First, employees shall only be assigned to departments which really exist.","(96, 104)",assign,V
"// The value of 'a' reflects only the last set value a = 0; echo(a); // 5 a = 3; echo(a); // 5 a = 5; While this appears to be counter-intuitive, it allows you to do some interesting things: for instance, if you set up your shared library files to have default values defined as variables at their root level, when you include that file in your own code you can 're-define' or override those constants by simply assigning a new value to them.","(412, 421)",assign,V
Hurricanes are assigned to categories based on their wind speed.,"(15, 23)",assign,V
"Earlier I said that you can only assign integer values to integer variables and character values to character variables, but that is not completely true.","(33, 39)",assign,V
Participants were randomly assigned to centre-based or home-based by computer-generated random numbers.,"(27, 35)",assign,V
"If num_zone is greater than the total number of zones of the current media type, the total number of zones will be incremented and default properties for that media type will be assigned.","(178, 186)",assign,V
Being authorized by DETC means these 12 conditions are satisfied by the institution.,"(6, 16)",authorize,V
The License Authorization Wizard shows you a series of windows that allow you to authorize your license and avoid a 14 day time limit.,"(81, 90)",authorize,V
"The Trust Fund, authorized in 1970 under the Airport and Airway Development Act, finances air traffic control and grants to local authorities for airport improvements.","(16, 26)",authorize,V
"There are authorized to be appropriated such sums, to remain available until expended, as may be necessary to carry out the provisions of this joint resolution.","(10, 20)",authorize,V
"In September 2016, Wells Fargo was found guilty of practicing ""widespread illegal sales practices"" and was issued a combined total of $185 million in fines for creating over 1.5 million checking and savings accounts and 500,000 credit cards that their customers never authorized.","(268, 278)",authorize,V
"In 1832 he asked Congress to pass a ""force bill,"" authorizing the use of military force to enforce the tariff law.","(50, 61)",authorize,V
April 1920 - Congress passes the Kinkaid Act authorizing the Secretary of Interior to investigate the Imperial Valley inland sea formation.,"(45, 56)",authorize,V
"The same year, President George W. Bush started his ""Terrorist Surveillance Program', in which he authorized the NSA by executive order to conduct warrantless surveillance as long as at least one party in the communication was believed to be outside the U.S. FISA included a provision that allowed surveillance with ""any express statutory authorization"".","(98, 108)",authorize,V
"Article 5 (Deleted) Article 6 A foreign film company dispatching a film crew to the Republic of China for location shooting shall meet the following requirements: A photocopy of the certificate of the foreign film company and the shooting script shall be submitted for approval to the ROC diplomatic mission in that country or an institution there that is authorized by the Ministry of Foreign Affairs, which will in turn forward the documents to the central authority in charge for approval.","(356, 366)",authorize,V
It should be noted that any material encoded into ASF using software not authorized by Microsoft violates their patent rights.,"(73, 83)",authorize,V
"Evaluating several tools and ways to come to an SGML/XML-based document Outcome This expert workshop covering the topic of using XML for publishing theses and dissertations electronically in universities was held in May 2000 at Humboldt-University Berlin, Germany.","(57, 62)",base,V
The change from traditional film-based image receptors is similar in many respects to those occurring in digital photography and digital television.,"(33, 38)",base,V
"Another limitation was due to the cohort size being very small, as the study was based on a small school and few year groups were involved, there were not enough participants to draw significant results from the data.","(81, 86)",base,V
"In order to make this type of addressing practical, memory systems are organized into page based structures and memory is seldom accessed at any smaller resolution than a page fetch.","(91, 96)",base,V
"(1) Every individual is equal before and under the law and has the right to the equal protection and equal benefit of the law without discrimination and, in particular, without discrimination based on race, national or ethnic origin, colour, religion, sex, age or mental or physical disability.","(192, 197)",base,V
"Proceed up the ramp, and there will be a cutscene If you subsequently jack out and return to Nebula Area 6, then you will face a different opponent based on how quickly you defeat the DS navis.","(148, 153)",base,V
"The craving based view is that people are constantly using their smartphones to satisfy their cravings (Wang et al., 2014).","(12, 17)",base,V
The designs are based on the theory that wine can be delivered via the shape of the bowl to the taste buds in a way to accentuate the flavors specific to the grape variety or common to a standard blend.,"(16, 21)",base,V
As we have seen above the Vertebrates are divided into 5 groups or classes namely: Fish Amphibia (frogs and toads) Reptiles (snakes and crocodiles) Birds Mammals These classes are all based on similarities.,"(184, 189)",base,V
"The selection here is based on state of development and usefulness: 49 Electrostatic Ion - This knocks electrons off of gas atoms making them charged, which is called ""ionized"".","(22, 27)",base,V
She was born in Paris and later moved with her family to New York in 1940.,"(8, 12)",bear,V
Saint Mary Magdalene (Memorial on July 22) Saint Timothy (Memorial also on January 26) Timothy was born in Lystra in the first half of the first century.,"(99, 103)",bear,V
Haruka: When you were born?,"(22, 26)",bear,V
"The fruits often bear long hairy styles which aid their distribution by the wind (""windflower"" is a common name sometimes used for members of the genus).","(17, 21)",bear,V
This bears remarkable similarity to the estimated age of the Universe which is around 13.8 billion years.,"(5, 10)",bear,V
"More practically, a sword bearing ambassador-designate had the power to requisition men and ships as he needed.","(26, 33)",bear,V
"Bearing this in mind, it can be said with equal confidence that nothing but the best will be offered.","(0, 7)",bear,V
"Brittoney McKenzie (discuss • contribs) 01:42, 13 August 2016 (UTC) Love bears all things Pius Christian (discuss • contribs) 00:30, 3 April 2018 (UTC) There is what is called secret relationship and open public relationship.","(73, 78)",bear,V
"Rhea Silvia conceived the twins by the god Mars, or by the demi-god Hercules; once the twins were born, Amulius had them abandoned to die in the river Tiber.","(98, 102)",bear,V
"Thus, if someone is pro-life, and believes in a soul, and does not accept reincarnation, they must believe in the freedom of that soul, the immortality of the soul that is always and forever (which cannot be born and cannot die), and also accept that the soul is granted upon conception.","(208, 212)",bear,V
"Dumbledore suspects there is a plot against Harry, while the other school Heads believe he cheated.","(80, 87)",believe,V
"Mr. Weasley effusively thanks Harry for saving his life, though Harry is uncertain how much gratitude he deserves; having witnessed the attack through the snake's eyes, he believes he may have been the agent of the attack on Mr. Weasley.","(172, 180)",believe,V
"If you believe different topics will better help you speak Spanish in the real world, do not hesitate to contact Wikiotics with suggestions so we could better serve you.","(7, 14)",believe,V
